resume_text,category
"Junior DevOps with a solid foundation in Monitoring, Terraform, CI/CD, Scripting, Docker, Ansible. Eager to contribute to innovative projects. Projects: Led the team in creating Monitoring Dashboard with focus on Kubernetes, Ansible, Terraform. Developed a Monitoring Dashboard using Scripting, Azure, AWS.",DevOps
"Tester lead with 7 years of experience. Skilled at Python, API Testing, Selenium, TestNG, Manual Testing, Bug Tracking and team management. Projects: Architected a Security Testing Framework using Selenium, SDLC, Bug Tracking and deployed on AWS. Led the team in creating Mobile App Automation with focus on Java, JUnit, Manual Testing. Implemented Mobile App Automation which improved efficiency by 11%.",Tester
"Junior Data Science with a solid foundation in NumPy, Data Visualization, Machine Learning, NLP, SQL, TensorFlow. Eager to contribute to innovative projects. Projects: Led the team in creating Fraud Detection System with focus on Data Visualization, Deep Learning, NumPy. Led the team in creating Customer Churn Prediction with focus on Deep Learning, TensorFlow, NLP. Implemented Customer Churn Prediction which improved efficiency by 35%.",Data Science
"Results-driven Tester professional with expertise in API Testing, Python, TestNG, SDLC, Automation Testing, JUnit. Worked on several high-impact projects. Projects: Led the team in creating Mobile App Automation with focus on SDLC, Selenium, Python. Led the team in creating Performance Benchmarking with focus on TestNG, API Testing, Java.",Tester
"Certified Full Stack Developer expert with a strong background in Spring Boot, Express, JavaScript, SQL, REST API, Docker. Passionate about building scalable solutions. Projects: Led the team in creating SaaS Application with focus on Node.js, React, SQL.",Full Stack Developer
"Experienced Data Science with 9 years in the industry. Proficient in Deep Learning, NumPy, SQL, Python, PyTorch, TensorFlow. Projects: Developed a Image Recognition App using SQL, Scikit-learn, NLP. Implemented Customer Churn Prediction which improved efficiency by 28%.",Data Science
"Experienced Data Science with 3 years in the industry. Proficient in PyTorch, Machine Learning, Data Visualization, TensorFlow, NLP, Python. Projects: Implemented Recommendation Engine which improved efficiency by 22%. Developed a Image Recognition App using PyTorch, Pandas, NumPy. Implemented Recommendation Engine which improved efficiency by 48%.",Data Science
"Data Science lead with 10 years of experience. Skilled at Pandas, Machine Learning, Deep Learning, Scikit-learn, NLP, NumPy and team management. Projects: Implemented Image Recognition App which improved efficiency by 25%. Led the team in creating Recommendation Engine with focus on NLP, SQL, NumPy.",Data Science
"Experienced Tester with 8 years in the industry. Proficient in Java, Selenium, TestNG, Manual Testing, JUnit, API Testing. Projects: Architected a Security Testing Framework using Bug Tracking, Selenium, JUnit and deployed on AWS. Led the team in creating Security Testing Framework with focus on Bug Tracking, API Testing, JUnit.",Tester
"Junior Frontend Developer with a solid foundation in Bootstrap, TypeScript, Redux, HTML5, Next.js, React. Eager to contribute to innovative projects. Projects: Developed a Portfolio Website using Bootstrap, Web Design, Next.js.",Frontend Developer
"Certified Frontend Developer expert with a strong background in JavaScript, Next.js, TypeScript, React, Tailwind CSS, HTML5. Passionate about building scalable solutions. Projects: Architected a Portfolio Website using Next.js, React, Bootstrap and deployed on Azure.",Frontend Developer
"Experienced Full Stack Developer with 6 years in the industry. Proficient in JavaScript, REST API, Docker, Spring Boot, Express, React. Projects: Architected a SaaS Application using SQL, REST API, MongoDB and deployed on AWS. Implemented Healthcare Portal which improved efficiency by 38%.",Full Stack Developer
"Certified Java Developer expert with a strong background in Maven, Microservices, JVM, Multithreading, Spring Boot, JUnit. Passionate about building scalable solutions. Projects: Developed a Banking Microservices using Hibernate, REST API, Maven. Developed a Banking Microservices using JUnit, JVM, Maven. Implemented Banking Microservices which improved efficiency by 29%.",Java Developer
"Junior Frontend Developer with a solid foundation in JavaScript, CSS3, Next.js, TypeScript, HTML5, Bootstrap. Eager to contribute to innovative projects. Projects: Implemented E-learning Platform which improved efficiency by 25%.",Frontend Developer
"Junior Java Developer with a solid foundation in Maven, Multithreading, Microservices, Hibernate, Java, SQL. Eager to contribute to innovative projects. Projects: Led the team in creating Flight Booking API with focus on Multithreading, Java, Spring Boot. Architected a E-commerce Backend using REST API, Microservices, SQL and deployed on GCP.",Java Developer
"Junior Frontend Developer with a solid foundation in CSS3, Tailwind CSS, React, JavaScript, Redux, Bootstrap. Eager to contribute to innovative projects. Projects: Architected a Dashboard UI using React, Next.js, HTML5 and deployed on AWS. Architected a Dashboard UI using Tailwind CSS, React, TypeScript and deployed on AWS. Developed a Dashboard UI using Tailwind CSS, TypeScript, Redux.",Frontend Developer
"Experienced Full Stack Developer with 1 years in the industry. Proficient in Docker, Spring Boot, Java, REST API, MongoDB, JavaScript. Projects: Architected a SaaS Application using Node.js, Express, Docker and deployed on Azure.",Full Stack Developer
"Java Developer lead with 3 years of experience. Skilled at Maven, Spring Boot, JUnit, JVM, SQL, REST API and team management. Projects: Architected a E-commerce Backend using Maven, JUnit, Multithreading and deployed on Azure. Implemented Banking Microservices which improved efficiency by 30%. Led the team in creating Inventory Management System with focus on JUnit, SQL, Spring Boot.",Java Developer
"Results-driven Frontend Developer professional with expertise in Next.js, TypeScript, HTML5, Web Design, Redux, Bootstrap. Worked on several high-impact projects. Projects: Led the team in creating Dashboard UI with focus on Redux, React, Next.js. Developed a E-learning Platform using CSS3, Web Design, React.",Frontend Developer
"Junior Java Developer with a solid foundation in Multithreading, Hibernate, Java, Microservices, Spring Boot, REST API. Eager to contribute to innovative projects. Projects: Architected a Inventory Management System using JUnit, Maven, Java and deployed on GCP. Led the team in creating Inventory Management System with focus on JUnit, Java, Multithreading.",Java Developer
"Experienced Tester with 7 years in the industry. Proficient in Automation Testing, Java, API Testing, TestNG, JUnit, Selenium. Projects: Implemented Mobile App Automation which improved efficiency by 22%. Architected a Performance Benchmarking using Manual Testing, SDLC, Java and deployed on AWS. Implemented Performance Benchmarking which improved efficiency by 21%.",Tester
"Junior Tester with a solid foundation in TestNG, API Testing, Selenium, Bug Tracking, Automation Testing, SDLC. Eager to contribute to innovative projects. Projects: Developed a E-commerce Test Suite using Manual Testing, Bug Tracking, Python. Developed a Security Testing Framework using Automation Testing, Manual Testing, TestNG.",Tester
"Certified Tester expert with a strong background in Automation Testing, Bug Tracking, TestNG, Manual Testing, JUnit, API Testing. Passionate about building scalable solutions. Projects: Led the team in creating E-commerce Test Suite with focus on Automation Testing, TestNG, API Testing. Implemented Mobile App Automation which improved efficiency by 29%. Developed a Performance Benchmarking using Manual Testing, Python, API Testing.",Tester
"Junior Full Stack Developer with a solid foundation in Docker, SQL, Node.js, JavaScript, REST API, Java. Eager to contribute to innovative projects. Projects: Developed a Healthcare Portal using Spring Boot, Express, REST API. Led the team in creating Healthcare Portal with focus on REST API, MongoDB, Java.",Full Stack Developer
"Junior Tester with a solid foundation in Bug Tracking, Java, TestNG, SDLC, Manual Testing, Selenium. Eager to contribute to innovative projects. Projects: Architected a Mobile App Automation using API Testing, Selenium, Python and deployed on AWS. Developed a Mobile App Automation using Java, Python, TestNG.",Tester
"Results-driven Tester professional with expertise in JUnit, Manual Testing, Python, TestNG, SDLC, Selenium. Worked on several high-impact projects. Projects: Developed a Security Testing Framework using Bug Tracking, Selenium, Java. Implemented Performance Benchmarking which improved efficiency by 15%.",Tester
"Experienced Data Science with 11 years in the industry. Proficient in Scikit-learn, PyTorch, NLP, NumPy, Machine Learning, Python. Projects: Developed a Customer Churn Prediction using Machine Learning, TensorFlow, NLP. Architected a Image Recognition App using NLP, Data Visualization, Deep Learning and deployed on Azure. Developed a Recommendation Engine using NumPy, Pandas, Data Visualization.",Data Science
"Tester lead with 8 years of experience. Skilled at Java, JUnit, Python, API Testing, Selenium, TestNG and team management. Projects: Architected a Performance Benchmarking using API Testing, Manual Testing, Selenium and deployed on AWS. Architected a Security Testing Framework using Selenium, SDLC, Manual Testing and deployed on GCP.",Tester
"Data Science lead with 12 years of experience. Skilled at Deep Learning, Python, Pandas, SQL, PyTorch, Data Visualization and team management. Projects: Led the team in creating Fraud Detection System with focus on Scikit-learn, SQL, Pandas. Developed a Fraud Detection System using PyTorch, Pandas, NumPy.",Data Science
"Certified DevOps expert with a strong background in AWS, Kubernetes, CI/CD, Terraform, Ansible, Linux. Passionate about building scalable solutions. Projects: Architected a Infrastructure as Code with Terraform using Docker, AWS, Azure and deployed on Azure.",DevOps
"Tester lead with 13 years of experience. Skilled at API Testing, JUnit, Python, Java, Bug Tracking, Manual Testing and team management. Projects: Implemented Security Testing Framework which improved efficiency by 17%. Architected a E-commerce Test Suite using Bug Tracking, Selenium, TestNG and deployed on GCP.",Tester
"Junior Data Science with a solid foundation in Machine Learning, SQL, NLP, Scikit-learn, NumPy, Pandas. Eager to contribute to innovative projects. Projects: Implemented Customer Churn Prediction which improved efficiency by 33%. Architected a Customer Churn Prediction using PyTorch, Pandas, SQL and deployed on GCP. Implemented Image Recognition App which improved efficiency by 41%.",Data Science
"Results-driven HR professional with expertise in Talent Acquisition, Strategic HR, HR Policies, Recruitment, Payroll, Training. Worked on several high-impact projects. Projects: Led the team in creating Performance Review System with focus on Strategic HR, HR Policies, Training. Developed a Payroll Automation using Employee Relations, Talent Acquisition, Recruitment.",HR
"Results-driven Data Science professional with expertise in SQL, TensorFlow, Deep Learning, PyTorch, Pandas, Python. Worked on several high-impact projects. Projects: Led the team in creating Customer Churn Prediction with focus on TensorFlow, SQL, Python. Architected a Customer Churn Prediction using Scikit-learn, Deep Learning, TensorFlow and deployed on GCP. Developed a Recommendation Engine using NLP, Machine Learning, NumPy.",Data Science
"Experienced Data Science with 2 years in the industry. Proficient in Pandas, NLP, SQL, Python, TensorFlow, NumPy. Projects: Architected a Customer Churn Prediction using TensorFlow, Data Visualization, Machine Learning and deployed on AWS.",Data Science
"Junior Frontend Developer with a solid foundation in Redux, CSS3, Next.js, Tailwind CSS, React, HTML5. Eager to contribute to innovative projects. Projects: Led the team in creating Social Media Feed with focus on React, TypeScript, Tailwind CSS. Implemented Dashboard UI which improved efficiency by 39%. Led the team in creating E-learning Platform with focus on Web Design, Redux, JavaScript.",Frontend Developer
"Junior HR with a solid foundation in HR Policies, Strategic HR, Onboarding, Payroll, Talent Acquisition, Employee Relations. Eager to contribute to innovative projects. Projects: Architected a Payroll Automation using Strategic HR, Onboarding, Recruitment and deployed on Azure. Architected a ATS Implementation using Onboarding, HR Policies, Strategic HR and deployed on AWS. Implemented ATS Implementation which improved efficiency by 31%.",HR
"Experienced Tester with 14 years in the industry. Proficient in TestNG, Selenium, Python, Java, Manual Testing, JUnit. Projects: Implemented E-commerce Test Suite which improved efficiency by 28%.",Tester
"Experienced Tester with 4 years in the industry. Proficient in Automation Testing, API Testing, Python, Java, Selenium, SDLC. Projects: Implemented Performance Benchmarking which improved efficiency by 25%. Architected a Security Testing Framework using Automation Testing, Selenium, Manual Testing and deployed on Azure. Developed a Performance Benchmarking using Manual Testing, Selenium, TestNG.",Tester
"Junior Full Stack Developer with a solid foundation in JavaScript, Spring Boot, Express, SQL, React, Node.js. Eager to contribute to innovative projects. Projects: Led the team in creating Online Marketplace with focus on JavaScript, Docker, React. Developed a SaaS Application using MongoDB, JavaScript, Express. Implemented SaaS Application which improved efficiency by 22%.",Full Stack Developer
"Experienced DevOps with 8 years in the industry. Proficient in Terraform, Scripting, Docker, Azure, Kubernetes, AWS. Projects: Developed a Kubernetes Deployment Pipeline using Ansible, Jenkins, Linux. Implemented Infrastructure as Code with Terraform which improved efficiency by 28%.",DevOps
"Results-driven HR professional with expertise in Employee Relations, Talent Acquisition, Payroll, Onboarding, HR Policies, Strategic HR. Worked on several high-impact projects. Projects: Implemented Payroll Automation which improved efficiency by 16%. Led the team in creating Performance Review System with focus on Training, Talent Acquisition, Onboarding.",HR
"Junior HR with a solid foundation in Strategic HR, Employee Relations, Talent Acquisition, Recruitment, Onboarding, Training. Eager to contribute to innovative projects. Projects: Developed a Payroll Automation using Recruitment, Strategic HR, Training.",HR
"Junior Full Stack Developer with a solid foundation in JavaScript, Java, Node.js, React, REST API, SQL. Eager to contribute to innovative projects. Projects: Led the team in creating Healthcare Portal with focus on REST API, MongoDB, Java. Architected a Online Marketplace using Express, JavaScript, React and deployed on Azure. Architected a SaaS Application using Node.js, MongoDB, Express and deployed on AWS.",Full Stack Developer
"Junior DevOps with a solid foundation in Monitoring, Ansible, Kubernetes, Linux, Scripting, Terraform. Eager to contribute to innovative projects. Projects: Led the team in creating Kubernetes Deployment Pipeline with focus on Ansible, Azure, Kubernetes.",DevOps
"Junior Frontend Developer with a solid foundation in Redux, JavaScript, HTML5, Bootstrap, React, Web Design. Eager to contribute to innovative projects. Projects: Developed a Portfolio Website using Redux, Bootstrap, TypeScript.",Frontend Developer
"Experienced Full Stack Developer with 1 years in the industry. Proficient in MongoDB, Java, Spring Boot, Node.js, SQL, Docker. Projects: Developed a Healthcare Portal using SQL, React, Java. Developed a Healthcare Portal using REST API, JavaScript, MongoDB. Led the team in creating SaaS Application with focus on Spring Boot, Node.js, Express.",Full Stack Developer
"Results-driven HR professional with expertise in Recruitment, Onboarding, Employee Relations, HR Policies, Talent Acquisition, Payroll. Worked on several high-impact projects. Projects: Implemented ATS Implementation which improved efficiency by 47%.",HR
"Results-driven Frontend Developer professional with expertise in Next.js, React, Bootstrap, Redux, HTML5, TypeScript. Worked on several high-impact projects. Projects: Led the team in creating Social Media Feed with focus on Tailwind CSS, JavaScript, HTML5. Architected a Dashboard UI using HTML5, Tailwind CSS, Next.js and deployed on Azure. Implemented Dashboard UI which improved efficiency by 32%.",Frontend Developer
"Certified DevOps expert with a strong background in Scripting, Jenkins, Monitoring, Terraform, Docker, Ansible. Passionate about building scalable solutions. Projects: Architected a Kubernetes Deployment Pipeline using Scripting, Monitoring, Jenkins and deployed on AWS. Developed a Infrastructure as Code with Terraform using AWS, Docker, Kubernetes. Developed a Infrastructure as Code with Terraform using CI/CD, Monitoring, Ansible.",DevOps
"Junior DevOps with a solid foundation in Jenkins, AWS, Scripting, Terraform, Kubernetes, Docker. Eager to contribute to innovative projects. Projects: Developed a Cloud Migration Project using Monitoring, Scripting, Ansible. Implemented Infrastructure as Code with Terraform which improved efficiency by 30%.",DevOps
"Results-driven HR professional with expertise in Onboarding, Strategic HR, Payroll, Talent Acquisition, Employee Relations, HR Policies. Worked on several high-impact projects. Projects: Led the team in creating ATS Implementation with focus on Training, Onboarding, Employee Relations.",HR
"Junior Data Science with a solid foundation in NumPy, Machine Learning, Pandas, SQL, Python, Deep Learning. Eager to contribute to innovative projects. Projects: Implemented Customer Churn Prediction which improved efficiency by 34%.",Data Science
"Results-driven Frontend Developer professional with expertise in JavaScript, CSS3, Next.js, Bootstrap, TypeScript, Web Design. Worked on several high-impact projects. Projects: Implemented E-learning Platform which improved efficiency by 17%.",Frontend Developer
"Tester lead with 7 years of experience. Skilled at API Testing, Selenium, Bug Tracking, Automation Testing, TestNG, Java and team management. Projects: Developed a Security Testing Framework using SDLC, API Testing, TestNG. Developed a Mobile App Automation using Python, Manual Testing, API Testing. Led the team in creating E-commerce Test Suite with focus on SDLC, TestNG, Java.",Tester
"Junior DevOps with a solid foundation in AWS, CI/CD, Scripting, Azure, Ansible, Monitoring. Eager to contribute to innovative projects. Projects: Architected a Kubernetes Deployment Pipeline using Linux, Jenkins, Docker and deployed on AWS.",DevOps
"Experienced HR with 2 years in the industry. Proficient in Training, HR Policies, Talent Acquisition, Onboarding, Recruitment, Payroll. Projects: Led the team in creating ATS Implementation with focus on HR Policies, Training, Recruitment.",HR
"Experienced Tester with 2 years in the industry. Proficient in JUnit, Manual Testing, Python, Automation Testing, Java, Selenium. Projects: Architected a Performance Benchmarking using SDLC, Selenium, JUnit and deployed on AWS. Implemented E-commerce Test Suite which improved efficiency by 43%.",Tester
"Certified Full Stack Developer expert with a strong background in Docker, JavaScript, Node.js, REST API, Java, SQL. Passionate about building scalable solutions. Projects: Developed a Healthcare Portal using Spring Boot, Express, MongoDB. Implemented Healthcare Portal which improved efficiency by 41%. Implemented SaaS Application which improved efficiency by 13%.",Full Stack Developer
"Tester lead with 12 years of experience. Skilled at Manual Testing, Automation Testing, Java, JUnit, Bug Tracking, API Testing and team management. Projects: Implemented Security Testing Framework which improved efficiency by 26%. Implemented Security Testing Framework which improved efficiency by 35%.",Tester
"Java Developer lead with 4 years of experience. Skilled at Microservices, Hibernate, Spring Boot, Java, SQL, Multithreading and team management. Projects: Developed a Inventory Management System using Spring Boot, Java, JUnit. Architected a E-commerce Backend using Microservices, SQL, JVM and deployed on Azure.",Java Developer
"Experienced Full Stack Developer with 4 years in the industry. Proficient in SQL, JavaScript, Java, Spring Boot, Express, Docker. Projects: Developed a Healthcare Portal using Spring Boot, Express, REST API. Led the team in creating Real-time Chat App with focus on React, Express, SQL.",Full Stack Developer
"Results-driven DevOps professional with expertise in Terraform, Jenkins, AWS, Linux, Kubernetes, Monitoring. Worked on several high-impact projects. Projects: Architected a Cloud Migration Project using AWS, Docker, Scripting and deployed on GCP.",DevOps
"Certified Data Science expert with a strong background in NumPy, Data Visualization, Scikit-learn, SQL, Deep Learning, Machine Learning. Passionate about building scalable solutions. Projects: Developed a Recommendation Engine using SQL, Machine Learning, NumPy.",Data Science
"Certified HR expert with a strong background in Onboarding, Strategic HR, Talent Acquisition, Payroll, Employee Relations, Recruitment. Passionate about building scalable solutions. Projects: Developed a ATS Implementation using Training, Strategic HR, Recruitment.",HR
"Data Science lead with 13 years of experience. Skilled at Python, Scikit-learn, Data Visualization, Machine Learning, TensorFlow, Pandas and team management. Projects: Architected a Fraud Detection System using Data Visualization, TensorFlow, PyTorch and deployed on AWS. Developed a Recommendation Engine using Python, Deep Learning, Data Visualization. Architected a Recommendation Engine using NLP, TensorFlow, Scikit-learn and deployed on GCP.",Data Science
"Junior HR with a solid foundation in Employee Relations, Training, Strategic HR, HR Policies, Talent Acquisition, Recruitment. Eager to contribute to innovative projects. Projects: Developed a Performance Review System using Employee Relations, Strategic HR, Training. Developed a Performance Review System using Strategic HR, Payroll, Employee Relations.",HR
"Certified Tester expert with a strong background in SDLC, TestNG, Java, API Testing, Automation Testing, Manual Testing. Passionate about building scalable solutions. Projects: Developed a Security Testing Framework using Java, SDLC, Manual Testing. Developed a E-commerce Test Suite using Python, Selenium, SDLC. Architected a Security Testing Framework using Python, Bug Tracking, Manual Testing and deployed on AWS.",Tester
"Results-driven Frontend Developer professional with expertise in Tailwind CSS, Bootstrap, Redux, TypeScript, React, HTML5. Worked on several high-impact projects. Projects: Developed a Dashboard UI using JavaScript, Redux, CSS3. Architected a Portfolio Website using Tailwind CSS, Redux, Web Design and deployed on AWS. Implemented Social Media Feed which improved efficiency by 33%.",Frontend Developer
"Results-driven Java Developer professional with expertise in REST API, Spring Boot, Multithreading, Hibernate, JUnit, Maven. Worked on several high-impact projects. Projects: Led the team in creating E-commerce Backend with focus on JVM, JUnit, Multithreading. Developed a E-commerce Backend using SQL, JVM, Java. Architected a E-commerce Backend using JUnit, Maven, Java and deployed on AWS.",Java Developer
"Data Science lead with 1 years of experience. Skilled at NumPy, Machine Learning, Data Visualization, NLP, Python, PyTorch and team management. Projects: Implemented Image Recognition App which improved efficiency by 34%. Architected a Customer Churn Prediction using Pandas, Scikit-learn, NLP and deployed on GCP.",Data Science
"Junior DevOps with a solid foundation in Docker, AWS, Linux, CI/CD, Monitoring, Jenkins. Eager to contribute to innovative projects. Projects: Implemented Cloud Migration Project which improved efficiency by 45%. Developed a Cloud Migration Project using Scripting, Docker, Terraform. Architected a Infrastructure as Code with Terraform using Ansible, Terraform, Monitoring and deployed on GCP.",DevOps
"Results-driven HR professional with expertise in Talent Acquisition, Payroll, Strategic HR, HR Policies, Training, Onboarding. Worked on several high-impact projects. Projects: Led the team in creating Employee Engagement Portal with focus on HR Policies, Onboarding, Talent Acquisition. Architected a Payroll Automation using Talent Acquisition, Recruitment, Employee Relations and deployed on Azure. Implemented Performance Review System which improved efficiency by 30%.",HR
"HR lead with 3 years of experience. Skilled at HR Policies, Strategic HR, Onboarding, Payroll, Employee Relations, Recruitment and team management. Projects: Implemented Employee Engagement Portal which improved efficiency by 15%.",HR
"Experienced Tester with 8 years in the industry. Proficient in Python, Bug Tracking, TestNG, SDLC, Manual Testing, Selenium. Projects: Developed a Mobile App Automation using Bug Tracking, TestNG, Java.",Tester
"Junior Java Developer with a solid foundation in SQL, Microservices, Spring Boot, Multithreading, REST API, JUnit. Eager to contribute to innovative projects. Projects: Implemented E-commerce Backend which improved efficiency by 41%. Architected a Flight Booking API using SQL, REST API, Spring Boot and deployed on GCP.",Java Developer
"Experienced Java Developer with 5 years in the industry. Proficient in Maven, Hibernate, Spring Boot, JUnit, Multithreading, JVM. Projects: Developed a Inventory Management System using JVM, Multithreading, Hibernate. Architected a Flight Booking API using Maven, Spring Boot, JVM and deployed on GCP. Led the team in creating Flight Booking API with focus on Microservices, Multithreading, Spring Boot.",Java Developer
"Java Developer lead with 1 years of experience. Skilled at Java, REST API, Multithreading, JVM, Maven, Spring Boot and team management. Projects: Architected a Flight Booking API using Multithreading, Java, Microservices and deployed on Azure.",Java Developer
"Certified HR expert with a strong background in Onboarding, HR Policies, Talent Acquisition, Recruitment, Strategic HR, Employee Relations. Passionate about building scalable solutions. Projects: Developed a Performance Review System using Talent Acquisition, Strategic HR, Recruitment. Architected a Employee Engagement Portal using Recruitment, Employee Relations, HR Policies and deployed on AWS.",HR
"Junior DevOps with a solid foundation in Kubernetes, Jenkins, Docker, Scripting, CI/CD, Azure. Eager to contribute to innovative projects. Projects: Architected a Infrastructure as Code with Terraform using Jenkins, Monitoring, Docker and deployed on Azure. Implemented Kubernetes Deployment Pipeline which improved efficiency by 41%. Implemented Infrastructure as Code with Terraform which improved efficiency by 50%.",DevOps
"Junior Data Science with a solid foundation in PyTorch, Data Visualization, Scikit-learn, NLP, Machine Learning, TensorFlow. Eager to contribute to innovative projects. Projects: Implemented Customer Churn Prediction which improved efficiency by 24%. Developed a Recommendation Engine using NumPy, Deep Learning, Scikit-learn.",Data Science
"Junior Tester with a solid foundation in Python, JUnit, Manual Testing, Java, API Testing, TestNG. Eager to contribute to innovative projects. Projects: Developed a Mobile App Automation using Manual Testing, Python, Java. Led the team in creating Mobile App Automation with focus on API Testing, TestNG, Python. Implemented Security Testing Framework which improved efficiency by 24%.",Tester
"Results-driven Full Stack Developer professional with expertise in JavaScript, Java, React, SQL, Docker, Node.js. Worked on several high-impact projects. Projects: Implemented Healthcare Portal which improved efficiency by 13%. Implemented Online Marketplace which improved efficiency by 31%. Implemented Online Marketplace which improved efficiency by 49%.",Full Stack Developer
"Java Developer lead with 8 years of experience. Skilled at JUnit, Hibernate, JVM, Java, Maven, Multithreading and team management. Projects: Led the team in creating Inventory Management System with focus on SQL, REST API, Microservices. Led the team in creating Flight Booking API with focus on Spring Boot, Microservices, Maven.",Java Developer
"Junior Data Science with a solid foundation in TensorFlow, Data Visualization, Pandas, SQL, Deep Learning, Machine Learning. Eager to contribute to innovative projects. Projects: Developed a Recommendation Engine using TensorFlow, Pandas, SQL. Led the team in creating Customer Churn Prediction with focus on Deep Learning, NumPy, Pandas. Implemented Recommendation Engine which improved efficiency by 26%.",Data Science
"DevOps lead with 3 years of experience. Skilled at Scripting, Terraform, Azure, Monitoring, Jenkins, Ansible and team management. Projects: Led the team in creating Cloud Migration Project with focus on Ansible, Monitoring, Linux.",DevOps
